,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
4814,1,1993,71.0,7.5,,RUSSIA,50.0,"51.218,157.829",LIMITED (roughly corresponding to less than $1 million)
4815,0,1993,20.0,5.8,,COSTA RICA,100.0,"9.821,-83.622",LIMITED (roughly corresponding to less than $1 million)
4816,0,1993,11.0,6.0,7.0,USA,150.0,"42.314,-122.012",SEVERE (~>$5 to $24 million)
4817,1,1993,34.0,7.0,,RUSSIA,50.0,"51.934,158.647",LIMITED (roughly corresponding to less than $1 million)
4818,0,1994,59.0,5.4,,HAITI,90.0,"19.803,-72.799",LIMITED (roughly corresponding to less than $1 million)
4819,1,1995,11.0,7.1,9.0,RUSSIA,50.0,"52.629,142.827",EXTREME (~$25 million or more)
4820,1,1995,10.0,7.2,8.0,EGYPT,15.0,"28.826,34.799",MODERATE (~$1 to $5 million)
4821,1,1996,33.0,7.7,8.0,PERU,160.0,"-14.993,-75.675",EXTREME (~$25 million or more)
4822,0,1997,10.0,6.1,6.0,JAPAN,30.0,"31.92,130.429",MODERATE (~$1 to $5 million)
4823,0,1997,33.0,6.6,,GREECE,130.0,"37.57,20.656",LIMITED (roughly corresponding to less than $1 million)
4824,0,1998,10.0,5.2,,ITALY,130.0,"43.164,12.701",LIMITED (roughly corresponding to less than $1 million)
4825,1,2000,10.0,6.5,,JAPAN,30.0,"33.901,139.376",LIMITED (roughly corresponding to less than $1 million)
4826,0,2000,34.0,6.5,,TANZANIA,10.0,"-7.977,30.709",LIMITED (roughly corresponding to less than $1 million)
4828,0,2001,10.0,7.8,,CHINA,40.0,"35.946,90.541",LIMITED (roughly corresponding to less than $1 million)
4829,0,2002,33.0,5.4,,IRAN,140.0,"28.093,51.755",MODERATE (~$1 to $5 million)
4830,0,2002,8.0,6.1,,AFGHANISTAN,40.0,"36.062,69.315",EXTREME (~$25 million or more)
4831,0,2003,10.0,5.0,,FRANCE,120.0,"48.342,6.57",LIMITED (roughly corresponding to less than $1 million)
4832,0,2003,10.0,4.4,,RUSSIA,40.0,"50.0,87.89",LIMITED (roughly corresponding to less than $1 million)
4833,0,2004,14.0,4.9,,RUSSIA,50.0,"47.311,142.12",LIMITED (roughly corresponding to less than $1 million)
4834,0,2004,14.0,5.9,,JAPAN,30.0,"37.284,138.885",LIMITED (roughly corresponding to less than $1 million)
4835,0,2005,17.0,6.1,,ECUADOR,160.0,"-1.364,-80.785",MODERATE (~$1 to $5 million)
4836,0,2005,32.0,5.9,,INDONESIA,170.0,"-1.174,119.963",LIMITED (roughly corresponding to less than $1 million)
4837,0,2005,35.0,4.8,6.0,ECUADOR,160.0,"-0.507,-77.745",LIMITED (roughly corresponding to less than $1 million)
4838,0,2006,22.0,5.6,5.0,ARGENTINA,160.0,"-33.131,-68.707",LIMITED (roughly corresponding to less than $1 million)
4839,0,2007,15.0,5.8,6.0,GREECE,130.0,"38.34,20.42",LIMITED (roughly corresponding to less than $1 million)
4840,0,2007,10.0,5.6,,USA,150.0,"37.434,-121.774",LIMITED (roughly corresponding to less than $1 million)
4841,0,2008,18.0,4.8,,UK,120.0,"53.403,-0.332",LIMITED (roughly corresponding to less than $1 million)
4842,0,2008,9.0,5.6,,COLOMBIA,160.0,"4.33,-73.764",LIMITED (roughly corresponding to less than $1 million)
4843,0,2008,35.0,4.8,,CHINA,30.0,"23.97,97.569",MODERATE (~$1 to $5 million)
4846,0,2009,10.0,6.6,,INDONESIA,60.0,"-2.515,101.501",SEVERE (~>$5 to $24 million)
4847,0,2010,10.0,4.7,,CHINA,30.0,"30.268,105.668",MODERATE (~$1 to $5 million)
4848,0,2010,17.0,6.9,,CHINA,30.0,"33.165,96.548",EXTREME (~$25 million or more)
4849,0,2011,68.0,7.2,,PAKISTAN,60.0,"28.777,63.951",MODERATE (~$1 to $5 million)
4850,0,2011,56.0,5.3,,NEW ZEALAND,170.0,"-41.364,174.315",LIMITED (roughly corresponding to less than $1 million)
4851,0,2013,19.0,6.0,,TAIWAN,30.0,"23.828,121.215",MODERATE (~$1 to $5 million)
4852,0,2014,9.0,5.9,3.0,CHINA,30.0,"30.34,101.737",SEVERE (~>$5 to $24 million)
4853,0,2015,33.0,5.8,7.0,ARGENTINA,160.0,"-25.442,-64.632",LIMITED (roughly corresponding to less than $1 million)
4854,0,2016,10.0,6.4,7.0,TAIWAN,30.0,"22.97,120.46",EXTREME (~$25 million or more)
4855,1,2016,17.0,7.8,8.0,ECUADOR,160.0,"0.35,-80.16",EXTREME (~$25 million or more)
4860,0,2019,10.0,5.7,,IRAN,140.0,"31.775,49.542",LIMITED (roughly corresponding to less than $1 million)
4861,0,2019,,5.9,6.0,PHILIPPINES,170.0,"7.625,124.912",MODERATE (~$1 to $5 million)
4863,0,-193,,6.5,,CHINA,30.0,"35.4,103.9",MODERATE (~$1 to $5 million)
4865,0,46,,6.5,8.0,CHINA,30.0,"33.0,112.5",MODERATE (~$1 to $5 million)
4866,1,76,,,10.0,CYPRUS,130.0,"34.8,32.0",SEVERE (~>$5 to $24 million)
4868,1,258,,,8.0,ITALY,130.0,"41.9,12.45",SEVERE (~>$5 to $24 million)
4870,0,396,,,9.0,TURKEY,140.0,"36.1,36.1",SEVERE (~>$5 to $24 million)
4872,0,788,,6.5,8.0,CHINA,30.0,"32.5,109.4",MODERATE (~$1 to $5 million)
4882,1,1590,40.0,7.7,7.0,PERU,160.0,"-17.2,-72.9",LIMITED (roughly corresponding to less than $1 million)
4883,1,1604,30.0,8.5,11.0,PERU,160.0,"-17.88,-70.94",SEVERE (~>$5 to $24 million)
4885,1,1614,,7.7,,JAPAN,30.0,"37.5,138.0",MODERATE (~$1 to $5 million)
4886,0,1618,,,9.0,INDIA,60.0,"18.9,72.9",SEVERE (~>$5 to $24 million)
4888,0,1641,,5.8,7.0,CHINA,30.0,"23.5,116.5",LIMITED (roughly corresponding to less than $1 million)
4889,0,1660,,,10.0,GREECE,130.0,"38.4,22.4",LIMITED (roughly corresponding to less than $1 million)
4890,0,1668,10.0,,,PAKISTAN,60.0,"24.0,68.0",SEVERE (~>$5 to $24 million)
4893,0,1699,6.0,5.0,8.0,SLOVENIA,130.0,"45.6,15.3",SEVERE (~>$5 to $24 million)
4895,1,1715,80.0,7.5,7.0,PERU,160.0,"-17.3,-70.8",LIMITED (roughly corresponding to less than $1 million)
4897,1,1751,,6.6,,JAPAN,30.0,"37.2,138.1",EXTREME (~$25 million or more)
4900,1,1759,,6.4,,ISRAEL,140.0,"33.0,35.5",MODERATE (~$1 to $5 million)
4905,0,1786,,6.0,8.0,CHINA,40.0,"44.0,80.8",MODERATE (~$1 to $5 million)
4906,1,1791,,7.0,10.0,GREECE,130.0,"35.8,21.0",SEVERE (~>$5 to $24 million)
4909,1,1804,,7.3,,JAPAN,30.0,"39.05,139.95",EXTREME (~$25 million or more)
4911,0,1814,,,7.0,FRANCE,120.0,"43.2,0.4",MODERATE (~$1 to $5 million)
4914,0,1837,,,9.0,INDONESIA,60.0,"-8.5,118.5",MODERATE (~$1 to $5 million)
