,Flag Tsunami,Year,Focal Depth,EQ Primary,Intensity,Country,Region code,Coordinates,Earthquake : Damage Description
1,1,344,,,9.0,TURKEY,140.0,"40.3,26.5",SEVERE (~>$5 to $24 million)
2,1,346,,6.8,9.0,ALBANIA,130.0,"41.4,19.4",MODERATE (~$1 to $5 million)
11,0,1427,,,11.0,SPAIN,130.0,"41.7,2.2",SEVERE (~>$5 to $24 million)
13,0,1504,,,8.0,SWITZERLAND,120.0,"46.8,10.2",SEVERE (~>$5 to $24 million)
17,1,1584,30.0,8.4,7.0,PERU,160.0,"-11.8,-77.8",LIMITED (roughly corresponding to less than $1 million)
18,0,1605,,7.5,10.0,CHINA,30.0,"19.9,110.5",EXTREME (~$25 million or more)
22,1,1678,40.0,8.4,9.0,PERU,160.0,"-9.0,-79.0",SEVERE (~>$5 to $24 million)
23,0,1679,,5.0,7.0,CHINA,30.0,"31.4,119.5",LIMITED (roughly corresponding to less than $1 million)
25,0,1714,,,6.0,GREECE,130.0,"38.25,21.73",LIMITED (roughly corresponding to less than $1 million)
28,0,1725,,5.5,7.0,CHINA,30.0,"30.1,101.9",MODERATE (~$1 to $5 million)
36,0,1774,,,9.0,MEXICO,150.0,"22.04,-103.73",MODERATE (~$1 to $5 million)
38,0,1796,,7.7,11.0,CHILE,160.0,"-27.35,-70.35",MODERATE (~$1 to $5 million)
40,0,1818,,,10.0,ITALY,130.0,"37.8,14.0",SEVERE (~>$5 to $24 million)
41,1,1828,,,8.0,PHILIPPINES,170.0,"14.55,120.9",LIMITED (roughly corresponding to less than $1 million)
43,0,1829,,6.0,8.0,CHINA,30.0,"36.6,118.5",MODERATE (~$1 to $5 million)
44,0,1831,,,9.0,ITALY,130.0,"43.8,7.8",SEVERE (~>$5 to $24 million)
46,1,1833,,7.7,8.0,PERU,160.0,"-18.251,-71.01",SEVERE (~>$5 to $24 million)
47,0,1839,33.0,7.8,9.0,MARTINIQUE,90.0,"14.4,-61.1",SEVERE (~>$5 to $24 million)
52,0,1871,,,9.0,PHILIPPINES,170.0,"7.4,124.2",SEVERE (~>$5 to $24 million)
53,0,1872,15.0,6.3,7.0,IRAN,140.0,"37.3,58.3",SEVERE (~>$5 to $24 million)
57,1,1878,,6.7,9.0,TURKEY,140.0,"40.8,29.0",MODERATE (~$1 to $5 million)
60,0,1881,,6.1,,TURKEY,140.0,"40.6,33.6",LIMITED (roughly corresponding to less than $1 million)
61,0,1884,,6.2,,ERITREA,15.0,"15.7,39.6",MODERATE (~$1 to $5 million)
63,0,1887,20.0,7.3,10.0,KAZAKHSTAN,40.0,"43.1,76.8",MODERATE (~$1 to $5 million)
64,0,1888,,,5.0,URUGUAY,160.0,"-34.5,-57.9",LIMITED (roughly corresponding to less than $1 million)
65,0,1888,,,8.0,COSTA RICA,90.0,"9.95,-84.1",SEVERE (~>$5 to $24 million)
67,1,1897,33.0,8.1,9.0,PHILIPPINES,170.0,"12.0,126.0",MODERATE (~$1 to $5 million)
68,1,1898,,6.5,8.0,USA,150.0,"38.2,-122.4",MODERATE (~$1 to $5 million)
69,0,1898,,,10.0,USA,150.0,"39.0,-124.0",LIMITED (roughly corresponding to less than $1 million)
71,0,1903,60.0,7.8,8.0,PHILIPPINES,170.0,"7.0,126.0",MODERATE (~$1 to $5 million)
72,0,1904,,6.0,,TAIWAN,30.0,"23.5,120.5",MODERATE (~$1 to $5 million)
73,0,1906,,5.3,7.0,CHINA,30.0,"24.6,98.6",MODERATE (~$1 to $5 million)
74,1,1906,33.0,8.0,,PAPUA NEW GUINEA,170.0,"-7.0,149.0",SEVERE (~>$5 to $24 million)
77,0,1912,25.0,8.0,9.0,MYANMAR (BURMA),60.0,"21.0,97.0",SEVERE (~>$5 to $24 million)
79,1,1913,30.0,7.0,9.0,PERU,160.0,"-16.6,-73.3",LIMITED (roughly corresponding to less than $1 million)
80,1,1914,35.0,7.6,,INDONESIA,60.0,"-3.924,101.82",LIMITED (roughly corresponding to less than $1 million)
81,0,1915,,,8.0,PHILIPPINES,170.0,"11.3,122.3",MODERATE (~$1 to $5 million)
82,0,1915,,6.2,,USA,150.0,"32.8,-115.5",LIMITED (roughly corresponding to less than $1 million)
83,1,1915,,6.4,8.0,PHILIPPINES,170.0,"18.0,119.5",LIMITED (roughly corresponding to less than $1 million)
85,1,1916,25.0,7.0,9.0,PANAMA,90.0,"9.6,-82.0",LIMITED (roughly corresponding to less than $1 million)
88,0,1919,,5.9,,EL SALVADOR,100.0,"13.69,-89.19",SEVERE (~>$5 to $24 million)
89,0,1920,11.0,6.2,,GEORGIA,40.0,"42.0,44.1",SEVERE (~>$5 to $24 million)
91,0,1921,,5.2,8.0,USA,150.0,"38.7,-112.1",MODERATE (~$1 to $5 million)
94,1,1924,33.0,8.3,9.0,PHILIPPINES,170.0,"6.5,126.5",SEVERE (~>$5 to $24 million)
95,0,1924,33.0,7.3,,CHINA,40.0,"36.8,83.8",MODERATE (~$1 to $5 million)
100,0,1930,,6.5,8.0,CHINA,30.0,"25.8,98.4",MODERATE (~$1 to $5 million)
104,0,1935,,5.8,,TAIWAN,30.0,"24.2,120.5",LIMITED (roughly corresponding to less than $1 million)
105,0,1935,30.0,6.5,,TAIWAN,30.0,"24.6,120.8",EXTREME (~$25 million or more)
109,0,1944,50.0,7.8,,ARGENTINA,160.0,"-31.5,-68.5",EXTREME (~$25 million or more)
110,0,1944,12.0,5.6,8.0,USA,150.0,"44.957,-74.723",MODERATE (~$1 to $5 million)
111,0,1945,,,7.0,TURKEY,140.0,"38.5,43.3",MODERATE (~$1 to $5 million)
113,0,1949,,7.3,9.0,CHINA,40.0,"42.0,84.0",SEVERE (~>$5 to $24 million)
115,1,1958,35.0,7.8,11.0,USA,150.0,"58.37,-136.665",LIMITED (roughly corresponding to less than $1 million)
118,0,1959,,6.9,,MEXICO,150.0,"18.3,-94.4",SEVERE (~>$5 to $24 million)
119,1,1960,33.0,5.9,10.0,MOROCCO,15.0,"30.45,-9.62",EXTREME (~$25 million or more)
120,0,1960,,,8.0,INDONESIA,170.0,"-0.5,121.5",MODERATE (~$1 to $5 million)
121,0,1962,45.0,7.3,,CHILE,160.0,"-37.8,-72.5",MODERATE (~$1 to $5 million)
122,0,1963,13.0,4.9,7.0,SLOVENIA,130.0,"46.1,14.8",MODERATE (~$1 to $5 million)
123,1,1964,130.0,7.0,7.0,INDONESIA,60.0,"5.9,95.7",SEVERE (~>$5 to $24 million)
124,0,1965,36.0,6.0,,JAPAN,30.0,"34.9,138.0",LIMITED (roughly corresponding to less than $1 million)
125,0,1966,,5.3,,CHINA,30.0,"37.25,114.78",LIMITED (roughly corresponding to less than $1 million)
126,0,1967,13.0,5.0,,ALGERIA,15.0,"35.5,-0.1",LIMITED (roughly corresponding to less than $1 million)
127,0,1967,161.0,6.8,,COLOMBIA,160.0,"6.8,-73.0",SEVERE (~>$5 to $24 million)
128,1,1967,33.0,7.5,,CHILE,160.0,"-21.7,-69.5",MODERATE (~$1 to $5 million)
129,0,1968,34.0,5.3,7.0,IRAN,140.0,"39.2,44.3",MODERATE (~$1 to $5 million)
130,1,1970,34.0,7.0,,JAPAN,30.0,"32.2,131.7",LIMITED (roughly corresponding to less than $1 million)
132,1,1972,33.0,7.5,6.0,TAIWAN,30.0,"22.5,122.3",LIMITED (roughly corresponding to less than $1 million)
133,0,1972,31.0,5.3,,IRAN,140.0,"30.1,50.8",MODERATE (~$1 to $5 million)
134,1,1972,66.0,7.4,10.0,JAPAN,30.0,"33.3,140.7",LIMITED (roughly corresponding to less than $1 million)
135,0,1973,31.0,5.9,,ETHIOPIA,10.0,"11.66,43.03",MODERATE (~$1 to $5 million)
137,0,1976,9.0,6.7,,ECUADOR,160.0,"0.78,-79.8",MODERATE (~$1 to $5 million)
138,0,1976,9.0,6.5,10.0,ITALY,130.0,"46.356,13.275",EXTREME (~$25 million or more)
139,0,1976,45.0,6.4,,MEXICO,150.0,"17.4,-100.64",MODERATE (~$1 to $5 million)
140,0,1976,33.0,6.2,7.0,MALAYSIA,170.0,"4.96,118.31",MODERATE (~$1 to $5 million)
141,0,1977,33.0,6.5,,COLOMBIA,160.0,"7.34,-76.3",MODERATE (~$1 to $5 million)
142,0,1978,8.0,5.3,8.0,GERMANY,120.0,"48.29,9.01",EXTREME (~$25 million or more)
143,0,1978,33.0,6.2,,IRAN,140.0,"32.14,49.65",MODERATE (~$1 to $5 million)
144,0,1979,28.0,6.5,,PANAMA,100.0,"8.316,-82.943",MODERATE (~$1 to $5 million)
145,0,1979,33.0,6.0,,IRAN,140.0,"34.033,59.817",SEVERE (~>$5 to $24 million)
146,0,1981,31.0,5.6,8.0,GREECE,130.0,"39.481,20.699",MODERATE (~$1 to $5 million)
147,0,1981,33.0,5.9,,PAKISTAN,60.0,"35.693,73.594",MODERATE (~$1 to $5 million)
148,0,1983,37.0,6.1,6.0,USA,150.0,"61.031,-147.286",MODERATE (~$1 to $5 million)
149,1,1983,10.0,7.6,6.0,UK TERRITORY,60.0,"-6.852,72.11",LIMITED (roughly corresponding to less than $1 million)
150,0,1984,8.0,6.1,8.0,USA,150.0,"37.32,-121.698",SEVERE (~>$5 to $24 million)
151,0,1985,32.0,6.9,7.0,SOLOMON ISLANDS,170.0,"-9.829,159.854",LIMITED (roughly corresponding to less than $1 million)
152,0,1986,43.0,4.5,,PAKISTAN,60.0,"27.727,66.65",LIMITED (roughly corresponding to less than $1 million)
153,0,1992,12.0,6.3,7.0,USA,150.0,"33.961,-116.318",MODERATE (~$1 to $5 million)
154,0,1993,37.0,5.1,,NEPAL,60.0,"28.723,82.28",LIMITED (roughly corresponding to less than $1 million)
155,0,1994,8.0,5.7,,CHINA,30.0,"36.028,100.104",LIMITED (roughly corresponding to less than $1 million)
156,0,1994,11.0,6.4,,TAIWAN,30.0,"24.511,121.905",MODERATE (~$1 to $5 million)
157,1,1995,23.0,7.4,,MEXICO,150.0,"16.779,-98.597",MODERATE (~$1 to $5 million)
158,0,1995,10.0,6.2,,CHINA,30.0,"26.003,102.227",EXTREME (~$25 million or more)
159,0,1996,11.0,6.6,9.0,CHINA,30.0,"27.291,100.276",EXTREME (~$25 million or more)
160,0,1997,33.0,6.0,,CHINA,40.0,"39.537,76.998",SEVERE (~>$5 to $24 million)
161,1,1997,20.0,7.0,5.0,VENEZUELA,90.0,"10.598,-63.486",EXTREME (~$25 million or more)
163,0,1997,54.0,6.1,,INDIA,60.0,"22.212,92.702",LIMITED (roughly corresponding to less than $1 million)
164,0,1998,236.0,6.4,,AFGHANISTAN,40.0,"36.479,71.086",MODERATE (~$1 to $5 million)
165,0,1998,10.0,4.5,,CHINA,30.0,"26.373,104.021",SEVERE (~>$5 to $24 million)
166,0,1999,33.0,6.0,,AFGHANISTAN,40.0,"34.259,69.364",SEVERE (~>$5 to $24 million)
167,0,2000,33.0,6.4,,TAIWAN,30.0,"23.843,121.225",LIMITED (roughly corresponding to less than $1 million)
168,0,2002,17.0,4.8,,GERMANY,120.0,"50.889,6.103",LIMITED (roughly corresponding to less than $1 million)
169,0,2003,18.0,5.2,,GREECE,130.0,"39.893,22.309",LIMITED (roughly corresponding to less than $1 million)
170,0,2003,33.0,4.7,,CHINA,30.0,"27.283,103.753",EXTREME (~$25 million or more)
173,0,2005,11.0,6.3,,INDONESIA,170.0,"-1.198,119.933",MODERATE (~$1 to $5 million)
174,0,2005,15.0,4.8,,INDONESIA,60.0,"-7.037,107.819",MODERATE (~$1 to $5 million)
175,0,2006,10.0,4.9,,CHINA,30.0,"44.624,124.122",LIMITED (roughly corresponding to less than $1 million)
176,0,2006,,4.5,,PANAMA,100.0,"8.898,-82.543",LIMITED (roughly corresponding to less than $1 million)
177,1,2007,8.0,6.7,,JAPAN,30.0,"37.336,136.588",SEVERE (~>$5 to $24 million)
178,0,2007,23.0,6.7,,GUATEMALA,100.0,"13.554,-90.618",LIMITED (roughly corresponding to less than $1 million)
179,1,2010,23.0,8.8,9.0,CHILE,160.0,"-36.122,-72.898",EXTREME (~$25 million or more)
180,0,2010,0.0,5.2,,AUSTRALIA,60.0,"-30.794,121.406",LIMITED (roughly corresponding to less than $1 million)
181,0,2010,10.0,5.8,,IRAN,140.0,"27.022,53.861",MODERATE (~$1 to $5 million)
182,0,2012,43.0,5.4,,INDIA,60.0,"26.175,92.889",LIMITED (roughly corresponding to less than $1 million)
184,0,2015,8.0,7.8,8.0,NEPAL,60.0,"28.231,84.731",EXTREME (~$25 million or more)
185,0,2016,40.0,5.9,,TANZANIA,10.0,"-1.036,31.618",EXTREME (~$25 million or more)
186,0,2016,13.0,5.4,6.0,SOUTH KOREA,30.0,"35.781,129.216",SEVERE (~>$5 to $24 million)
188,0,2018,10.0,5.3,,IRAN,140.0,"30.715,51.485",MODERATE (~$1 to $5 million)
189,0,2018,24.0,5.3,,AZERBAIJAN,40.0,"41.526,46.785",LIMITED (roughly corresponding to less than $1 million)
190,0,2018,8.0,6.3,,INDONESIA,60.0,"-8.325,116.577",MODERATE (~$1 to $5 million)
191,0,2018,8.0,5.5,,MOZAMBIQUE,10.0,"-20.644,32.801",MODERATE (~$1 to $5 million)
192,0,2019,10.0,5.2,,ALBANIA,130.0,"40.501,20.722",MODERATE (~$1 to $5 million)
193,0,2020,6.0,6.0,,CHINA,40.0,"39.831,77.106",SEVERE (~>$5 to $24 million)
194,1,-50,,5.5,8.0,GEORGIA,40.0,"43.0,41.0",MODERATE (~$1 to $5 million)
198,0,856,,7.9,10.0,IRAN,140.0,"36.2,54.3",EXTREME (~$25 million or more)
199,0,858,10.0,5.2,,TURKEY,140.0,"40.0,44.6",SEVERE (~>$5 to $24 million)
200,0,951,,,9.0,SYRIA,140.0,"36.1,37.1",SEVERE (~>$5 to $24 million)
204,0,1115,,,10.0,TURKEY,140.0,"36.8,39.0",SEVERE (~>$5 to $24 million)
206,0,1182,,6.7,10.0,SYRIA,140.0,"32.6,36.7",SEVERE (~>$5 to $24 million)
207,0,1208,10.0,6.1,9.0,TURKMENISTAN,40.0,"42.0,60.0",SEVERE (~>$5 to $24 million)
208,0,1295,,,8.0,SWITZERLAND,120.0,"46.9,9.5",SEVERE (~>$5 to $24 million)
213,1,1456,,,11.0,ITALY,130.0,"40.4,14.5",EXTREME (~$25 million or more)
216,0,1568,,6.8,9.0,CHINA,30.0,"34.4,109.0",MODERATE (~$1 to $5 million)
218,1,1596,,6.9,,JAPAN,30.0,"33.3,131.7",LIMITED (roughly corresponding to less than $1 million)
219,0,1611,,,8.0,IRAN,140.0,"35.1,58.9",SEVERE (~>$5 to $24 million)
221,0,1620,6.0,5.8,9.0,UZBEKISTAN,40.0,"40.9,71.4",SEVERE (~>$5 to $24 million)
223,0,1630,,6.3,8.0,CHINA,30.0,"32.6,104.1",LIMITED (roughly corresponding to less than $1 million)
224,0,1638,,,9.0,ITALY,130.0,"39.25,16.75",MODERATE (~$1 to $5 million)
226,0,1656,,,9.0,LEBANON,140.0,"34.4,35.85",SEVERE (~>$5 to $24 million)
230,0,1716,30.0,7.5,9.0,CHINA,40.0,"41.2,80.3",SEVERE (~>$5 to $24 million)
232,1,1750,,,10.0,BULGARIA,110.0,"42.1,24.8",SEVERE (~>$5 to $24 million)
237,1,1770,,,8.0,PHILIPPINES,170.0,"14.6,120.98",MODERATE (~$1 to $5 million)
241,1,1783,,5.9,9.0,ITALY,130.0,"38.767,16.3",SEVERE (~>$5 to $24 million)
242,1,1783,,6.9,10.0,ITALY,130.0,"38.783,16.467",SEVERE (~>$5 to $24 million)
243,1,1790,,,10.0,ALGERIA,15.0,"35.7,-0.6",SEVERE (~>$5 to $24 million)
245,0,1805,,,8.0,VENEZUELA,160.0,"10.5,-64.2",MODERATE (~$1 to $5 million)
248,0,1819,,8.0,,CHILE,160.0,"-27.4,-70.3",SEVERE (~>$5 to $24 million)
249,1,1819,,8.5,10.0,CHILE,160.0,"-27.0,-71.5",SEVERE (~>$5 to $24 million)
251,0,1823,,,10.0,ITALY,130.0,"38.1,14.7",SEVERE (~>$5 to $24 million)
252,0,1825,,,7.0,IRAN,140.0,"29.6,52.5",MODERATE (~$1 to $5 million)
254,1,1833,,7.4,,JAPAN,30.0,"38.9,139.15",SEVERE (~>$5 to $24 million)
256,0,1835,,,10.0,TURKEY,140.0,"38.5,35.5",MODERATE (~$1 to $5 million)
257,0,1838,150.0,6.9,8.0,ROMANIA,110.0,"45.7,26.6",MODERATE (~$1 to $5 million)
260,1,1843,33.0,8.3,9.0,GUADELOUPE,90.0,"16.5,-62.2",EXTREME (~$25 million or more)
261,0,1847,,,11.0,EGYPT,15.0,"29.5,30.5",EXTREME (~$25 million or more)
262,0,1851,,7.1,8.0,CHILE,160.0,"-33.32,-71.42",SEVERE (~>$5 to $24 million)
264,0,1855,,6.7,10.0,TURKEY,140.0,"40.2,29.1",MODERATE (~$1 to $5 million)
266,0,1855,,,10.0,ALBANIA,130.0,"42.0,19.5",MODERATE (~$1 to $5 million)
267,1,1855,,7.0,,JAPAN,30.0,"34.5,137.6",LIMITED (roughly corresponding to less than $1 million)
269,1,1857,,8.0,,PAPUA NEW GUINEA,170.0,"-5.5,147.0",LIMITED (roughly corresponding to less than $1 million)
271,0,1859,,,9.0,TURKEY,140.0,"40.2,25.8",SEVERE (~>$5 to $24 million)
273,1,1865,,6.0,,PHILIPPINES,170.0,"13.25,123.5",MODERATE (~$1 to $5 million)
274,0,1866,,,8.0,PHILIPPINES,170.0,"18.2,120.6",MODERATE (~$1 to $5 million)
275,0,1873,,,8.0,FRANCE,120.0,"44.5,4.7",MODERATE (~$1 to $5 million)
276,0,1874,16.0,5.9,,VENEZUELA,160.0,"10.5,-63.1",MODERATE (~$1 to $5 million)
277,1,1875,,8.0,,NEW CALEDONIA,170.0,"-20.0,168.5",MODERATE (~$1 to $5 million)
282,0,1894,,,8.0,PHILIPPINES,170.0,"8.2,126.1",LIMITED (roughly corresponding to less than $1 million)
285,0,1898,33.0,7.9,8.0,NICARAGUA,100.0,"12.0,-86.0",MODERATE (~$1 to $5 million)
287,0,1900,,5.9,8.0,TURKEY,140.0,"40.3,43.1",SEVERE (~>$5 to $24 million)
288,1,1901,,7.2,10.0,BULGARIA,110.0,"43.4,28.5",SEVERE (~>$5 to $24 million)
290,1,1902,,6.3,,GUATEMALA,100.0,"14.71,-91.59",LIMITED (roughly corresponding to less than $1 million)
291,0,1902,15.0,6.9,9.0,AZERBAIJAN,40.0,"40.7,48.6",EXTREME (~$25 million or more)
292,0,1903,,6.3,10.0,TURKEY,140.0,"39.1,42.5",EXTREME (~$25 million or more)
298,0,1914,,5.6,7.0,TURKEY,140.0,"39.2,36.0",MODERATE (~$1 to $5 million)
299,1,1915,60.0,7.8,,JAPAN,30.0,"38.3,142.9",LIMITED (roughly corresponding to less than $1 million)
304,1,1920,25.0,8.3,12.0,CHINA,30.0,"36.601,105.317",EXTREME (~$25 million or more)
305,1,1921,60.0,7.5,7.0,PHILIPPINES,170.0,"8.0,127.0",LIMITED (roughly corresponding to less than $1 million)
306,0,1922,12.0,6.0,10.0,SERBIA,130.0,"44.4,20.4",SEVERE (~>$5 to $24 million)
308,0,1923,15.0,6.9,,BANGLADESH,60.0,"24.969,90.752",MODERATE (~$1 to $5 million)
309,1,1926,35.0,6.9,,SOLOMON ISLANDS,170.0,"-9.674,159.519",MODERATE (~$1 to $5 million)
310,0,1928,10.0,7.0,11.0,BULGARIA,110.0,"42.1,25.0",EXTREME (~$25 million or more)
315,1,1932,15.0,7.8,10.0,MEXICO,150.0,"19.081,-103.631",MODERATE (~$1 to $5 million)
316,0,1936,,5.0,,SOUTH KOREA,30.0,"35.2,127.6",SEVERE (~>$5 to $24 million)
318,0,1937,45.0,7.6,,RUSSIA,50.0,"44.5,149.4",LIMITED (roughly corresponding to less than $1 million)
320,0,1946,,5.6,9.0,ALGERIA,15.0,"35.75,5.0",SEVERE (~>$5 to $24 million)
321,0,1948,18.0,7.3,10.0,CHINA,30.0,"29.5,100.5",SEVERE (~>$5 to $24 million)
324,0,1950,,6.5,7.0,INDONESIA,60.0,"-6.0,113.0",LIMITED (roughly corresponding to less than $1 million)
325,1,1950,65.0,7.5,,GUATEMALA,100.0,"14.31,-91.917",SEVERE (~>$5 to $24 million)
326,0,1951,,,5.0,USA,150.0,"33.5,-118.2",MODERATE (~$1 to $5 million)
327,1,1953,35.0,7.4,,PAPUA NEW GUINEA,170.0,"-4.449,152.868",LIMITED (roughly corresponding to less than $1 million)
329,0,1954,640.0,7.0,,SPAIN,130.0,"37.0,-3.5",SEVERE (~>$5 to $24 million)
331,0,1955,,7.0,9.0,CHINA,40.0,"39.9,74.6",MODERATE (~$1 to $5 million)
332,0,1956,,7.3,9.0,ECUADOR,160.0,"-0.5,-80.5",MODERATE (~$1 to $5 million)
334,0,1957,170.0,7.8,,BOLIVIA,160.0,"-21.0,-66.0",LIMITED (roughly corresponding to less than $1 million)
337,0,1961,,4.9,7.0,CHINA,30.0,"30.5,110.0",MODERATE (~$1 to $5 million)
338,0,1961,25.0,6.0,8.0,CHINA,30.0,"27.73,99.75",SEVERE (~>$5 to $24 million)
339,0,1961,,5.7,7.0,CHINA,30.0,"34.33,104.78",LIMITED (roughly corresponding to less than $1 million)
340,0,1962,33.0,6.1,9.0,CROATIA,130.0,"43.3,17.1",MODERATE (~$1 to $5 million)
341,0,1962,,6.4,8.0,CHINA,40.0,"44.68,81.58",LIMITED (roughly corresponding to less than $1 million)
342,0,1963,5.0,5.4,,LIBYA,15.0,"32.6,21.0",MODERATE (~$1 to $5 million)
343,1,1965,13.0,7.6,,VANUATU,170.0,"-15.8,167.2",MODERATE (~$1 to $5 million)
344,0,1968,74.0,7.8,8.0,PAPUA NEW GUINEA,170.0,"-5.5,153.2",LIMITED (roughly corresponding to less than $1 million)
345,1,1968,7.0,8.2,6.0,JAPAN,30.0,"40.8,143.2",SEVERE (~>$5 to $24 million)
347,0,1969,9.0,5.1,,TURKEY,140.0,"39.2,28.6",MODERATE (~$1 to $5 million)
348,1,1970,44.0,6.5,8.0,RUSSIA,40.0,"43.0,47.1",SEVERE (~>$5 to $24 million)
350,0,1971,39.0,5.3,,IRAN,140.0,"36.6,55.6",MODERATE (~$1 to $5 million)
352,1,1973,33.0,7.5,9.0,PHILIPPINES,170.0,"13.4,122.8",LIMITED (roughly corresponding to less than $1 million)
353,0,1974,7.0,4.5,7.0,SLOVENIA,130.0,"44.97,15.53",MODERATE (~$1 to $5 million)
354,0,1974,36.0,5.4,,IRAN,140.0,"28.0,55.8",MODERATE (~$1 to $5 million)
355,1,1975,4.0,6.9,8.0,CHILE,160.0,"-29.9,-71.3",LIMITED (roughly corresponding to less than $1 million)
356,0,1975,113.0,6.1,7.0,USA TERRITORY,170.0,"13.843,144.754",LIMITED (roughly corresponding to less than $1 million)
358,1,1982,33.0,5.9,,INDONESIA,60.0,"-8.405,123.08",MODERATE (~$1 to $5 million)
359,0,1983,104.0,6.5,,PERU,160.0,"-4.843,-78.103",LIMITED (roughly corresponding to less than $1 million)
360,0,1983,10.0,5.1,8.0,SERBIA,130.0,"43.246,20.859",MODERATE (~$1 to $5 million)
361,0,1986,39.0,5.3,4.0,PERU,160.0,"-9.505,-77.512",MODERATE (~$1 to $5 million)
362,0,1986,21.0,5.6,7.0,BULGARIA,110.0,"43.274,25.912",MODERATE (~$1 to $5 million)
364,0,1988,17.0,6.2,7.0,PHILIPPINES,170.0,"12.376,121.067",MODERATE (~$1 to $5 million)
365,0,1988,0.0,4.3,,PAPUA NEW GUINEA,170.0,"-6.06,146.23",MODERATE (~$1 to $5 million)
366,0,1988,12.0,5.6,,ALGERIA,15.0,"36.443,2.759",MODERATE (~$1 to $5 million)
367,0,1989,14.0,5.8,,INDONESIA,170.0,"-4.511,139.022",MODERATE (~$1 to $5 million)
368,0,1991,10.0,7.0,8.0,INDIA,60.0,"30.78,78.774",EXTREME (~$25 million or more)
369,0,1991,21.0,6.4,6.0,COLOMBIA,160.0,"4.554,-77.442",LIMITED (roughly corresponding to less than $1 million)
371,0,1993,33.0,5.6,,CHINA,30.0,"23.027,101.062",SEVERE (~>$5 to $24 million)
372,1,1994,20.0,7.0,,INDONESIA,170.0,"1.015,127.733",MODERATE (~$1 to $5 million)
373,0,1996,33.0,5.9,6.0,ECUADOR,160.0,"-1.036,-78.737",SEVERE (~>$5 to $24 million)
374,0,1997,15.0,6.2,,CHINA,40.0,"39.527,76.941",EXTREME (~$25 million or more)
375,0,1998,24.0,6.6,,BOLIVIA,160.0,"-17.731,-65.431",SEVERE (~>$5 to $24 million)
376,0,1999,61.0,7.5,8.0,MEXICO,150.0,"16.059,-96.931",EXTREME (~$25 million or more)
377,0,1999,10.0,5.0,,CHINA,30.0,"40.459,122.889",LIMITED (roughly corresponding to less than $1 million)
378,0,1999,19.0,5.7,,TURKEY,140.0,"40.358,42.346",MODERATE (~$1 to $5 million)
379,0,2002,33.0,5.4,,PAKISTAN,60.0,"35.517,74.654",SEVERE (~>$5 to $24 million)
380,0,2003,33.0,6.5,,INDONESIA,60.0,"-8.294,120.743",LIMITED (roughly corresponding to less than $1 million)
381,0,2003,10.0,6.6,,MYANMAR (BURMA),60.0,"19.917,95.672",LIMITED (roughly corresponding to less than $1 million)
382,1,2004,27.0,5.3,,JORDAN,140.0,"31.675,35.551",MODERATE (~$1 to $5 million)
383,0,2004,,5.6,,TURKEY,140.0,"39.93,40.812",LIMITED (roughly corresponding to less than $1 million)
384,0,2004,67.0,5.0,,IRAN,140.0,"29.881,51.474",LIMITED (roughly corresponding to less than $1 million)
385,1,2004,10.0,7.4,,JAPAN,30.0,"33.184,137.071",LIMITED (roughly corresponding to less than $1 million)
386,0,2004,10.0,4.5,,ALGERIA,15.0,"36.848,3.448",LIMITED (roughly corresponding to less than $1 million)
388,0,2005,42.0,4.8,,CHINA,30.0,"26.569,103.036",MODERATE (~$1 to $5 million)
389,0,2006,10.0,3.8,,MALAWI,10.0,"-14.52,34.28",LIMITED (roughly corresponding to less than $1 million)
390,0,2006,10.0,4.8,,HUNGARY,110.0,"48.195,22.46",LIMITED (roughly corresponding to less than $1 million)
391,0,2007,22.0,7.5,,INDONESIA,170.0,"1.065,126.282",LIMITED (roughly corresponding to less than $1 million)
392,0,2007,120.0,7.2,,VANUATU,170.0,"-15.595,167.68",LIMITED (roughly corresponding to less than $1 million)
394,0,2008,27.0,6.6,,KYRGYZSTAN,40.0,"39.533,73.824",MODERATE (~$1 to $5 million)
397,0,2011,7.0,4.3,,TURKEY,140.0,"39.12,29.04",LIMITED (roughly corresponding to less than $1 million)
398,0,2011,6.0,5.8,7.0,USA,150.0,"37.936,-77.933",MODERATE (~$1 to $5 million)
399,0,2011,10.0,5.0,,INDIA,60.0,"21.211,70.533",SEVERE (~>$5 to $24 million)
400,0,2011,46.0,5.0,,PHILIPPINES,170.0,"7.904,125.185",LIMITED (roughly corresponding to less than $1 million)
402,0,2012,14.0,6.8,,MYANMAR (BURMA),60.0,"23.005,95.885",MODERATE (~$1 to $5 million)
403,0,2013,42.0,5.2,3.0,INDIA,60.0,"33.297,75.95",MODERATE (~$1 to $5 million)
404,0,2013,66.0,6.4,7.0,GUATEMALA,100.0,"14.606,-92.121",LIMITED (roughly corresponding to less than $1 million)
405,0,2014,79.0,6.3,5.0,JAPAN,30.0,"33.684,131.825",LIMITED (roughly corresponding to less than $1 million)
406,0,2014,5.0,5.5,6.0,SOUTH AFRICA,10.0,"-26.99,26.705",MODERATE (~$1 to $5 million)
407,0,2014,9.0,6.2,9.0,JAPAN,30.0,"36.641,137.888",LIMITED (roughly corresponding to less than $1 million)
408,0,2015,10.0,6.4,,CHINA,40.0,"37.6,78.2",SEVERE (~>$5 to $24 million)
