time,latitude,longitude,depth,mag
2021-12-29,31.0448,142.3616,10.0,4.6
2021-12-30,35.5975,140.2124,56.97,4.6
2021-12-30,39.7509,141.9686,64.39,4.7
2021-12-30,30.918,141.8623,10.0,4.3
2021-12-30,33.1948,142.5877,10.0,4.5
2021-12-30,30.9772,142.3701,10.0,4.2
2021-12-31,32.187,129.9623,10.0,4.1
2021-12-31,31.1148,142.2999,10.0,4.3
2021-11-02,32.8876,136.892,433.36,4.2
2021-11-02,31.0448,141.9867,10.0,4.5
2021-11-02,36.0259,143.0997,10.0,4.6
2021-11-03,35.9514,143.0183,10.0,4.5
2021-11-03,37.0785,141.2569,45.96,4.6
2021-11-03,42.9402,145.8427,43.89,4.3
2021-11-05,33.7858,137.4955,341.34,4.9
2021-11-06,38.2553,140.7112,101.43,4.3
2021-11-06,36.007,139.8559,58.54,4.5
2021-11-07,32.1226,142.6028,10.0,4.4
2021-11-07,40.2269,144.9596,10.0,4.5
2021-11-07,40.2762,142.2673,59.3,4.4
2021-11-07,36.2065,140.044,59.37,4.4
2021-11-07,41.0724,141.9538,59.0,4.5
2021-11-08,37.0912,140.5069,35.96,4.7
2021-11-08,40.1846,142.8614,38.22,4.1
2021-11-10,40.2804,142.264,58.51,4.3
2021-11-11,36.3835,141.2171,31.83,4.5
2021-11-11,33.8976,141.8049,10.0,4.5
2021-11-12,35.6466,140.1614,70.98,4.5
2021-11-13,37.9865,140.9072,121.26,4.2
2021-11-13,34.9153,139.8636,35.53,4.4
2021-11-13,31.2283,130.373,151.46,4.9
2021-11-13,34.1059,140.4512,84.71,4.4
2021-11-14,41.6233,141.5305,89.23,4.6
2021-11-14,36.779,142.9005,10.0,4.4
2021-11-14,43.2078,141.7099,169.97,4.1
2021-11-16,35.4303,139.1719,10.0,4.4
2021-11-16,37.6149,141.7635,48.07,4.2
2021-11-17,36.9207,141.4113,38.63,4.5
2021-11-17,44.2496,148.0549,70.5,4.2
2021-11-19,44.4684,148.0816,104.37,4.1
2021-11-19,38.2196,142.3149,23.77,4.3
2021-11-19,35.7987,139.5146,109.49,4.6
2021-11-20,43.7075,147.7301,34.82,4.7
2021-11-22,42.2291,143.2148,65.67,4.3
2021-11-22,45.0241,147.117,10.0,4.3
2021-11-22,38.886,145.2239,10.0,4.4
2021-11-23,38.8975,142.217,50.53,4.8
2021-11-24,36.3957,141.685,35.0,4.6
2021-11-24,39.4207,141.9048,60.17,4.8
2021-11-24,36.5173,141.7366,38.16,4.4
2021-11-24,36.2755,142.1297,27.23,4.2
2021-11-24,36.185,141.8713,29.28,4.2
2021-11-26,36.8314,142.8347,22.65,4.3
2021-11-26,42.4256,144.8033,53.21,4.3
2021-11-28,35.0721,141.5144,10.0,4.5
2021-11-28,43.1379,146.5898,52.73,4.6
2021-11-28,31.8528,130.7914,10.0,4.5
2021-11-28,31.9107,130.776,10.0,4.3
2021-11-29,33.5176,137.2049,382.74,4.1
2021-11-29,31.196,142.5026,11.0,6.3
2021-11-29,31.0608,142.2653,10.0,4.3
2021-11-29,31.1961,142.3646,10.0,4.7
2021-11-29,41.8821,142.5919,65.74,4.3
2021-11-29,39.7223,141.9624,64.22,4.2
2021-11-29,39.6353,143.2737,34.12,4.3
2021-11-29,31.1392,142.4398,10.0,4.6
2021-11-29,31.2587,142.433,10.0,4.4
2021-11-30,31.1081,142.3905,10.0,4.6
2021-11-30,31.1664,142.4432,5.46,4.5
2021-11-30,31.217,142.4377,20.07,5.5
2021-11-30,31.1231,142.4847,10.0,4.6
2021-11-30,31.1709,142.3912,10.0,4.3
2021-11-30,31.2168,142.4423,10.0,4.4
2021-11-30,31.1699,142.3705,10.0,4.3
2021-11-30,32.2308,141.9171,10.0,4.7
2021-11-30,31.1917,142.2841,10.0,4.7
2021-11-30,35.2018,141.4962,10.0,4.6
2021-11-30,36.1956,140.2265,71.36,4.9
2021-11-30,31.1227,142.3142,10.0,5.0
2021-11-30,31.06,142.1927,10.0,4.2
2021-11-30,31.2238,142.3623,10.0,4.6
2021-11-30,31.1371,142.5167,10.0,4.9
2021-11-30,32.9042,137.4257,372.22,4.1
2021-11-30,31.095,142.3401,10.0,4.4
2021-11-30,31.3205,142.4753,10.0,4.6
2021-11-30,31.1995,142.3954,10.0,4.5
2021-11-30,31.0074,142.475,10.0,4.2
2021-11-30,35.1634,141.5889,10.0,4.6
2021-10-01,42.362,144.5444,71.32,4.1
2021-10-02,38.4927,142.1025,38.68,4.8
2021-10-03,43.8852,148.3135,27.13,4.5
2021-10-03,37.4618,137.1153,10.0,4.4
2021-10-03,32.3267,141.346,36.95,4.6
2021-10-03,34.355,141.6211,10.0,4.6
2021-10-04,38.1597,142.0234,45.5,4.5
2021-10-05,39.2062,144.297,10.0,4.1
2021-10-05,44.4836,147.8149,92.67,4.3
2021-10-05,40.3277,143.9091,10.0,4.4
2021-10-05,40.0529,142.141,55.0,5.7
2021-10-05,40.1318,142.1822,56.89,4.4
2021-10-06,43.1453,146.7116,70.51,4.5
2021-10-06,31.1971,131.4859,24.46,5.4
2021-10-07,35.5736,140.0705,62.0,5.9
2021-10-07,41.1879,142.3431,61.77,4.5
2021-10-07,31.7273,138.0549,370.49,4.0
2021-10-07,35.5528,140.1119,69.52,4.4
2021-10-09,35.4836,140.4188,57.1,4.3
2021-10-09,42.3709,141.9719,93.91,4.6
2021-10-09,40.0765,142.2057,52.66,5.0
2021-10-10,42.3455,143.0753,61.69,4.9
2021-10-12,30.1428,142.8307,10.0,4.9
2021-10-12,39.564,142.5149,35.0,4.1
2021-10-13,30.6616,138.6772,384.06,4.1
2021-10-13,44.1617,146.4826,119.93,4.3
2021-10-13,32.4545,133.1539,12.63,4.6
2021-10-16,32.6091,140.8246,81.66,4.5
2021-10-17,40.9682,142.1452,67.87,4.8
2021-10-18,38.2759,141.5402,71.21,4.6
2021-10-19,44.8445,148.8281,76.78,4.3
2021-10-19,41.5122,142.8248,38.37,5.3
2021-10-19,41.4511,142.9168,41.17,4.3
2021-10-19,41.6104,142.7983,35.0,4.5
2021-10-19,41.5049,143.0525,36.35,4.5
2021-10-21,38.9848,141.9429,64.47,4.2
2021-10-21,32.1131,138.1614,335.78,5.5
2021-10-24,44.9457,148.8728,104.92,4.3
2021-10-24,31.5285,140.2493,34.68,4.6
2021-10-26,37.2597,142.2418,22.51,4.9
2021-10-26,37.1967,142.4328,31.88,4.5
2021-10-26,37.2001,141.5087,51.93,4.3
2021-10-27,39.9387,141.6147,72.38,4.2
2021-10-28,36.0429,139.8833,50.3,4.4
2021-10-28,37.7506,141.7884,60.52,4.3
2021-10-28,35.6091,140.1727,45.94,4.4
2021-10-30,44.0247,148.1131,51.31,4.5
2021-10-31,35.9925,137.2816,238.51,4.1
2021-10-31,35.3576,139.5496,81.22,4.5
2021-10-31,33.2919,135.6276,10.0,4.7
2021-10-31,36.5337,140.5277,55.3,5.2
2021-10-31,40.6211,141.7102,90.56,4.2
2021-09-01,37.6853,141.8461,55.59,4.3
2021-09-01,37.7211,141.6871,65.05,4.6
2021-09-01,41.4409,142.158,57.88,4.2
2021-09-02,39.489,144.7136,10.0,4.4
2021-09-05,41.2635,142.5583,48.51,4.6
2021-09-06,38.0576,144.7289,10.0,4.4
2021-09-06,42.697,145.0948,49.73,4.7
2021-09-06,31.1673,131.4674,45.94,4.6
2021-09-07,35.3614,141.3875,35.0,4.5
2021-09-07,39.1866,141.8615,74.52,4.5
2021-09-08,30.6161,141.912,14.12,4.6
2021-09-08,33.4062,141.1856,32.02,4.6
2021-09-08,37.1179,141.5455,7.34,4.2
